rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF00027,let-7 microRNA precursor,Gene; miRNA;,64,95,5110,79.8,67,Rfam seed
RF00028,Group I catalytic intron,Intron;,12,891,4378,364.8,34,Rfam seed
RF00029,Group II catalytic intron,Intron;,92,186,8152,88.6,53,Rfam seed
RF00030,RNase MRP,Gene; ribozyme;,66,1213,21210,321.4,45,Rfam seed
RF00031,Selenocysteine insertion sequence 1,Cis-reg;,61,93,3932,64.5,41,Rfam seed
RF00032,Histone 3' UTR stem-loop,Cis-reg;,46,47,2110,45.9,48,Rfam seed
RF00033,MicF RNA,Gene; antisense;,4,96,368,92.0,83,Rfam seed
RF00034,RprA RNA,Gene; sRNA;,13,120,1406,108.2,66,Rfam seed
RF00035,OxyS RNA,Gene; sRNA;,5,114,548,109.6,90,Rfam seed
RF00036,HIV Rev response element,Cis-reg;,65,340,21950,337.7,97,Rfam seed
RF00037,Iron response element I,Cis-reg;,62,38,2185,35.2,77,Rfam seed
RF00038,PrfA thermoregulator UTR,Cis-reg; thermoregulator;,11,135,1444,131.3,87,Rfam seed
RF00039,DicF RNA,Gene; antisense;,5,55,257,51.4,74,Rfam seed
RF00040,RNase E 5' UTR element,Cis-reg;,6,455,2074,345.7,63,Rfam seed
RF00041,Enteroviral 3' UTR element,Cis-reg;,60,139,7316,121.9,88,Rfam seed
RF00042,CopA-like RNA,Gene; antisense;,37,95,3332,90.1,80,Rfam seed
RF00043,R1162-like plasmid antisense RNA,Gene; antisense;,8,77,586,73.2,75,Rfam seed
RF00044,Bacteriophage pRNA,Gene;,3,244,732,244.0,98,Rfam seed
RF00045,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;,66,269,13369,202.6,72,Rfam seed
RF00046,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;,6,96,575,95.8,87,Rfam seed
RF00047,mir-2 microRNA precursor,Gene; miRNA;,56,86,3913,69.9,66,Rfam seed
RF00048,Enterovirus cis-acting replication element,Cis-reg;,56,61,3416,61.0,81,Rfam seed
RF00049,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;,59,93,4411,74.8,65,Rfam seed
RF00050,FMN riboswitch (RFN element),Cis-reg; riboswitch;,146,221,19855,136.0,68,Rfam seed
RF00051,mir-17 microRNA precursor family,Gene; miRNA;,233,84,17409,74.7,64,Rfam seed
RF00052,lin-4 microRNA precursor,Gene; miRNA;,12,74,839,69.9,69,Rfam seed
RF00053,mir-7 microRNA precursor,Gene; miRNA;,57,104,5020,88.1,65,Rfam seed
RF00054,Small nucleolar RNA SNORD25,Gene; snRNA; snoRNA; CD-box;,12,91,991,82.6,67,Rfam seed
RF00055,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;,9,105,789,87.7,60,Rfam seed
RF00056,Small nucleolar RNA SNORA71,Gene; snRNA; snoRNA; HACA-box;,40,143,5282,132.1,78,Rfam seed
RF00057,RyhB RNA,Gene; sRNA;,26,71,1702,65.5,75,Rfam seed
RF00058,HgcF RNA (Pab35),Gene; snRNA; snoRNA; HACA-box;,4,174,675,168.8,87,Rfam seed
RF00059,TPP riboswitch (THI element),Cis-reg; riboswitch;,115,211,12198,106.1,54,Rfam seed
RF00060,HgcE RNA (Pab105),Gene; snRNA; snoRNA; HACA-box;,4,135,520,130.0,78,Rfam seed
RF00061,Hepatitis C virus internal ribosome entry site,Cis-reg; IRES;,79,308,17738,224.5,86,Rfam seed
RF00062,HgcC family RNA,Gene;,5,177,672,134.4,67,Rfam seed
RF00063,SscA RNA,Gene;,5,97,481,96.2,71,Rfam seed
RF00064,HgcG RNA (Pab40),Gene; snRNA; snoRNA; HACA-box;,5,299,1374,274.8,67,Rfam seed
RF00065,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;,5,132,639,127.8,84,Rfam seed
RF00066,U7 small nuclear RNA,Gene; snRNA;,49,75,3020,61.6,65,Rfam seed
RF00067,Small nucleolar RNA SNORD15,Gene; snRNA; snoRNA; CD-box;,11,163,1615,146.8,60,Rfam seed
RF00068,Small nucleolar RNA SNORD21,Gene; snRNA; snoRNA; CD-box;,5,97,463,92.6,71,Rfam seed
RF00069,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;,14,101,1091,77.9,71,Rfam seed
RF00070,Small nucleolar RNA SNORD29,Gene; snRNA; snoRNA; CD-box;,10,93,732,73.2,75,Rfam seed
RF00071,Small nucleolar RNA SNORD73,Gene; snRNA; snoRNA; CD-box;,25,86,1765,70.6,79,Rfam seed
RF00072,Small nucleolar RNA SNORA75,Gene; snRNA; snoRNA; HACA-box;,6,157,811,135.2,71,Rfam seed
RF00073,mir-156 microRNA precursor,Gene; miRNA;,10,102,890,89.0,71,Rfam seed
RF00074,mir-29 microRNA precursor,Gene; miRNA;,10,72,673,67.3,74,Rfam seed
RF00075,mir-166 microRNA precursor,Gene; miRNA;,31,193,3775,121.8,57,Rfam seed
RF00076,mir-181 microRNA precursor,Gene; miRNA;,19,83,1441,75.8,81,Rfam seed
RF00077,SraB RNA,Gene; sRNA;,5,169,841,168.2,86,Rfam seed
RF00078,MicA sRNA,Gene; sRNA;,17,105,1264,74.4,78,Rfam seed
RF00079,OmrA-B family,Gene; sRNA;,23,114,2016,87.7,75,Rfam seed
RF00080,yybP-ykoY manganese riboswitch,Cis-reg; riboswitch;,29,369,5136,177.1,33,Rfam seed
RF00081,ArcZ RNA,Gene; sRNA;,9,115,966,107.3,77,Rfam seed
RF00082,SraG RNA,Gene; sRNA;,7,189,1206,172.3,71,Rfam seed
RF00083,GlmZ RNA activator of glmS mRNA,Gene; sRNA;,21,249,4439,211.4,78,Rfam seed
RF00084,CsrC RNA family,Gene; sRNA;,4,261,1016,254.0,82,Rfam seed
RF00085,Small nucleolar RNA SNORD28,Gene; snRNA; snoRNA; CD-box;,20,87,1521,76.0,75,Rfam seed
RF00086,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;,8,85,579,72.4,73,Rfam seed
RF00087,Small nucleolar RNA SNORD26,Gene; snRNA; snoRNA; CD-box;,17,79,1274,74.9,79,Rfam seed
RF00088,Small nucleolar RNA SNORD30,Gene; snRNA; snoRNA; CD-box;,20,76,1394,69.7,82,Rfam seed
RF00089,Small nucleolar RNA SNORD31,Gene; snRNA; snoRNA; CD-box;,26,76,1778,68.4,76,Rfam seed
RF00090,Small nucleolar RNA SNORA74,Gene; snRNA; snoRNA; HACA-box;,24,216,4787,199.5,77,Rfam seed
RF00091,Small nucleolar RNA SNORA62/SNORA6 family,Gene; snRNA; snoRNA; HACA-box;,18,166,2743,152.4,76,Rfam seed
RF00092,Small nucleolar RNA SNORA63,Gene; snRNA; snoRNA; HACA-box;,8,135,1030,128.8,80,Rfam seed
RF00093,Small nucleolar RNA SNORD18,Gene; snRNA; snoRNA; CD-box;,16,102,1198,74.9,68,Rfam seed
RF00094,Hepatitis delta virus ribozyme,Gene; ribozyme;,33,115,3007,91.1,72,Rfam seed
RF00095,Pyrococcus C/D box small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;,25,63,1402,56.1,60,Rfam seed
RF00096,U8 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;,55,189,7385,134.3,66,Rfam seed
RF00097,Plant small nucleolar RNA R71,Gene; snRNA; snoRNA; CD-box;,25,108,2674,107.0,82,Rfam seed
RF00099,Small nucleolar RNA SNORD22,Gene; snRNA; snoRNA; CD-box;,49,148,6162,125.8,80,Rfam seed
RF00100,7SK RNA,Gene;,45,402,14501,322.2,81,Rfam seed
RF00101,SraC/RyeA RNA,Gene; sRNA;,13,153,1898,146.0,86,Rfam seed
RF00102,VA RNA,Gene;,54,249,8713,161.4,67,Rfam seed
RF00103,mir-1 microRNA precursor family,Gene; miRNA;,66,86,5062,76.7,68,Rfam seed
RF00104,mir-10 microRNA precursor family,Gene; miRNA;,36,80,2635,73.2,68,Rfam seed
RF00105,Small nucleolar RNA SNORD115,Gene; snRNA; snoRNA; CD-box;,32,84,2583,80.7,89,Rfam seed
RF00106,RNAI,Gene; antisense;,10,108,1025,102.5,75,Rfam seed
RF00107,FinP,Gene;,6,80,465,77.5,90,Rfam seed
RF00108,Small nucleolar RNA SNORD116,Gene; snRNA; snoRNA; CD-box;,48,118,4463,93.0,81,Rfam seed
RF00109,Vimentin 3' UTR protein-binding region,Cis-reg;,19,86,1310,68.9,74,Rfam seed
RF00110,RybB RNA,Gene; sRNA;,8,84,632,79.0,82,Rfam seed
RF00111,SdsR_RyeB RNA,Gene; sRNA;,17,115,1655,97.4,74,Rfam seed
RF00112,CyaR/Rye RNA,Gene; sRNA;,17,95,1469,86.4,77,Rfam seed
RF00113,Short Intergenic Abundant RNA,Gene; antitoxin;,17,166,2512,147.8,72,Rfam seed
RF00114,Ribosomal S15 leader,Cis-reg; leader;,78,140,9104,116.7,60,Rfam seed
RF00115,McaS/IsrA RNA,Gene; sRNA;,4,96,383,95.8,84,Rfam seed
RF00116,C0465 RNA,Gene; sRNA;,8,78,620,77.5,99,Rfam seed
RF00117,C0719 RNA,Gene; sRNA;,9,222,1998,222.0,98,Rfam seed
RF00118,rydB RNA,Gene; sRNA;,7,69,432,61.7,79,Rfam seed
RF00119,C0299 RNA,Gene; sRNA;,5,79,395,79.0,97,Rfam seed
RF00121,MicC RNA,Gene; sRNA;,8,134,976,122.0,71,Rfam seed
RF00122,GadY,Gene; sRNA;,5,114,569,113.8,99,Rfam seed
RF00124,IS102 RNA,Gene; sRNA;,5,208,1025,205.0,89,Rfam seed
RF00125,IS128 RNA,Gene; sRNA;,5,213,1051,210.2,88,Rfam seed
RF00126,ryfA RNA,Gene; sRNA;,9,323,2688,298.7,73,Rfam seed
RF00127,t44 RNA,Gene; sRNA;,78,140,7485,96.0,63,Rfam seed
RF00128,Glm Y RNA activator of glmS mRNA,Gene; sRNA;,17,176,2680,157.6,77,Rfam seed
RF00129,mir-103/107 microRNA precursor,Gene; miRNA;,93,82,6961,74.8,84,Rfam seed
RF00130,mir-192/215 microRNA precursor,Gene; miRNA;,48,116,3594,74.9,74,Rfam seed
RF00131,mir-30 microRNA precursor,Gene; miRNA;,49,64,2938,60.0,75,Rfam seed
RF00132,Small nucleolar RNA R24,Gene; snRNA; snoRNA; CD-box;,12,97,1107,92.2,81,Rfam seed
RF00133,Small nucleolar RNA Z195/SNORD33/SNORD32 family,Gene; snRNA; snoRNA; CD-box;,72,111,5997,83.3,62,Rfam seed
RF00134,Small nucleolar RNA Z196/R39/R59 family,Gene; snRNA; snoRNA; CD-box;,22,104,1889,85.9,67,Rfam seed
RF00135,Small nucleolar RNA Z223,Gene; snRNA; snoRNA; CD-box;,5,95,471,94.2,83,Rfam seed
RF00136,Small nucleolar RNA SNORD81,Gene; snRNA; snoRNA; CD-box;,22,90,1684,76.5,82,Rfam seed
RF00137,Small nucleolar RNA SNORD83,Gene; snRNA; snoRNA; CD-box;,7,80,538,76.9,84,Rfam seed
RF00138,Small nucleolar RNA SNORD16,Gene; snRNA; snoRNA; CD-box;,5,101,490,98.0,80,Rfam seed
RF00139,Small nucleolar RNA SNORA72,Gene; snRNA; snoRNA; HACA-box;,29,150,3842,132.5,83,Rfam seed
RF00140,Alpha operon ribosome binding site,Cis-reg;,39,137,4175,107.1,65,Rfam seed
RF00142,Small nucleolar RNA Z118/Z121/Z120,Gene; snRNA; snoRNA; CD-box;,7,111,727,103.9,83,Rfam seed
RF00143,mir-6 microRNA precursor,Gene; miRNA;,36,97,2674,74.3,73,Rfam seed
RF00144,mir-199 microRNA precursor,Gene; miRNA;,83,83,6192,74.6,85,Rfam seed
RF00145,Small nucleolar RNA Z105,Gene; snRNA; snoRNA; CD-box;,11,77,769,69.9,65,Rfam seed
RF00147,Small nucleolar RNA SNORD34,Gene; snRNA; snoRNA; CD-box;,14,94,1052,75.1,69,Rfam seed
RF00149,Small nucleolar RNA Z103,Gene; snRNA; snoRNA; CD-box;,12,108,1181,98.4,74,Rfam seed
RF00150,Small nucleolar RNA SNORD42,Gene; snRNA; snoRNA; CD-box;,7,78,460,65.7,72,Rfam seed
RF00151,Small nucleolar RNA SNORD58,Gene; snRNA; snoRNA; CD-box;,33,99,2169,65.7,79,Rfam seed
RF00152,Small nucleolar RNA SNORD79,Gene; snRNA; snoRNA; CD-box;,28,93,2291,81.8,75,Rfam seed
RF00153,Small nucleolar RNA SNORD62,Gene; snRNA; snoRNA; CD-box;,14,87,1196,85.4,86,Rfam seed
RF00154,Small nucleolar RNA SNORD63,Gene; snRNA; snoRNA; CD-box;,23,98,1673,72.7,79,Rfam seed
RF00155,Small nucleolar RNA SNORA66,Gene; snRNA; snoRNA; HACA-box;,25,145,3341,133.6,81,Rfam seed
RF00156,Small nucleolar RNA SNORA70,Gene; snRNA; snoRNA; HACA-box;,43,149,5798,134.8,77,Rfam seed
RF00157,Small nucleolar RNA SNORD55/SNORD39,Gene; snRNA; snoRNA; CD-box;,20,86,1594,79.7,83,Rfam seed
RF00158,Small nucleolar RNA SNORD82,Gene; snRNA; snoRNA; CD-box;,27,81,1880,69.6,80,Rfam seed
RF00159,Small nucleolar RNA Z168/Z174,Gene; snRNA; snoRNA; CD-box;,6,86,492,82.0,83,Rfam seed
RF00160,Small nucleolar RNA Z159/U59,Gene; snRNA; snoRNA; CD-box;,10,103,893,89.3,81,Rfam seed
RF00161,Nanos 3' UTR translation control element,Cis-reg;,9,65,565,62.8,80,Rfam seed
RF00162,SAM riboswitch (S box leader),Cis-reg; riboswitch;,457,239,50154,109.7,63,Rfam seed
RF00163,Hammerhead ribozyme (type I),Gene; ribozyme;,29,124,1727,59.6,67,Rfam seed
RF00164,Coronavirus 3' stem-loop II-like motif (s2m),Cis-reg;,39,47,1677,43.0,78,Rfam seed
RF00165,Coronavirus 3' UTR pseudoknot,Cis-reg;,52,72,3201,61.6,56,Rfam seed
RF00166,PrrB/RsmZ RNA family,Gene; sRNA;,37,152,4767,128.8,73,Rfam seed
RF00167,Purine riboswitch,Cis-reg; riboswitch;,133,113,13410,100.8,55,Rfam seed
RF00168,Lysine riboswitch,Cis-reg; riboswitch;,47,274,8623,183.5,48,Rfam seed
RF00169,Bacterial small signal recognition particle RNA,Gene;,261,127,22384,85.8,54,Rfam seed
RF00170,Retron msr RNA,Gene;,7,83,488,69.7,76,Rfam seed
RF00171,Tombusvirus 5' UTR,Cis-reg;,9,193,1449,161.0,75,Rfam seed
RF00172,ctgf/hcs24 CAESAR,Cis-reg;,9,90,712,79.1,78,Rfam seed
RF00173,Hairpin ribozyme,Gene; ribozyme;,5,52,256,51.2,82,Rfam seed
RF00174,Cobalamin riboswitch,Cis-reg; riboswitch;,433,440,87312,201.6,50,Rfam seed
RF00175,Human immunodeficiency virus type 1 dimerisation initiation site,Cis-reg;,70,47,2809,40.1,87,Rfam seed
RF00176,Tombusvirus 3' UTR region IV,Cis-reg;,18,92,1642,91.2,93,Rfam seed
RF00177,Bacterial small subunit ribosomal RNA,Gene; rRNA;,99,1980,151508,1530.4,73,Rfam seed
RF00178,mir-24 microRNA precursor family,Gene; miRNA;,63,76,4259,67.6,82,Rfam seed
RF00179,GAIT element,Cis-reg;,8,71,562,70.2,99,Rfam seed
RF00180,Renin stability regulatory element (REN-SRE),Cis-reg;,13,37,475,36.5,89,Rfam seed
RF00181,Small nucleolar RNA SNORD113/SNORD114 family,Gene; snRNA; snoRNA; CD-box;,59,109,4414,74.8,67,Rfam seed
RF00182,Coronavirus packaging signal,Cis-reg;,6,110,648,108.0,80,Rfam seed
RF00183,G-CSF factor stem-loop destabilising element (SLDE),Cis-reg;,16,100,1499,93.7,80,Rfam seed
RF00184,Potato virus X cis-acting regulatory element,Cis-reg;,4,54,216,54.0,96,Rfam seed
RF00185,Flavivirus 3' UTR cis-acting replication element (CRE),Cis-reg;,84,118,7963,94.8,65,Rfam seed
RF00186,Small nucleolar RNA SNORD101,Gene; snRNA; snoRNA; CD-box;,26,90,1902,73.2,84,Rfam seed
RF00187,Small nucleolar RNA SNORD102,Gene; snRNA; snoRNA; CD-box;,11,75,783,71.2,88,Rfam seed
RF00188,Small nucleolar RNA SNORD103/SNORD85,Gene; snRNA; snoRNA; CD-box;,41,92,3286,80.1,79,Rfam seed
RF00189,Small nucleolar RNA SNORD95,Gene; snRNA; snoRNA; CD-box;,7,68,475,67.9,90,Rfam seed
RF00190,Small nucleolar RNA SNORA16B/SNORA16A family,Gene; snRNA; snoRNA; HACA-box;,29,169,3926,135.4,72,Rfam seed
RF00191,Small nucleolar RNA SNORA57,Gene; snRNA; snoRNA; HACA-box;,26,160,3809,146.5,78,Rfam seed
RF00192,Bovine leukaemia virus RNA packaging signal,Cis-reg;,5,55,275,55.0,96,Rfam seed
RF00193,Citrus tristeza virus replication signal,Cis-reg;,9,275,2458,273.1,98,Rfam seed
RF00194,Rubella virus 3' cis-acting element,Cis-reg;,25,68,1672,66.9,95,Rfam seed
RF00195,RsmY RNA family,Gene; sRNA;,11,134,1333,121.2,76,Rfam seed
RF00196,Alfalfa mosaic virus RNA 1 5' UTR stem-loop,Cis-reg;,6,35,210,35.0,96,Rfam seed
RF00198,SL1 RNA,Gene;,28,106,2909,103.9,92,Rfam seed
RF00199,SL2 RNA,Gene;,30,130,3300,110.0,76,Rfam seed
RF00200,Small nucleolar RNA Z199,Gene; snRNA; snoRNA; CD-box;,17,107,1404,82.6,81,Rfam seed
RF00201,Small nucleolar RNA Z278,Gene; snRNA; snoRNA; CD-box;,7,115,803,114.7,94,Rfam seed
RF00202,Small nucleolar RNA R66,Gene; snRNA; snoRNA; CD-box;,6,78,444,74.0,87,Rfam seed
RF00203,Small nucleolar RNA R160,Gene; snRNA; snoRNA; CD-box;,9,96,718,79.8,73,Rfam seed
RF00204,Small nucleolar RNA R12,Gene; snRNA; snoRNA; CD-box;,9,93,747,83.0,79,Rfam seed
RF00205,Small nucleolar RNA R41,Gene; snRNA; snoRNA; CD-box;,7,111,663,94.7,88,Rfam seed
RF00206,Small nucleolar RNA U54,Gene; snRNA; snoRNA; CD-box;,21,96,1706,81.2,69,Rfam seed
RF00207,K10 transport/localisation element (TLS),Cis-reg;,10,48,460,46.0,91,Rfam seed
RF00208,Small nucleolar RNA R72,Gene; snRNA; snoRNA; CD-box;,5,87,435,87.0,97,Rfam seed
RF00209,Pestivirus internal ribosome entry site (IRES),Cis-reg; IRES;,25,286,6874,275.0,88,Rfam seed
RF00210,Aphthovirus internal ribosome entry site (IRES),Cis-reg; IRES;,92,569,42476,461.7,82,Rfam seed
RF00211,Small nucleolar RNA SNORD35,Gene; snRNA; snoRNA; CD-box;,8,95,707,88.4,72,Rfam seed
RF00212,Small nucleolar RNA SNORD38,Gene; snRNA; snoRNA; CD-box;,7,74,477,68.1,80,Rfam seed
RF00213,Small nucleolar RNA R38,Gene; snRNA; snoRNA; CD-box;,19,114,1623,85.4,58,Rfam seed
RF00214,Retrovirus direct repeat 1 (dr1),Cis-reg;,26,95,2345,90.2,89,Rfam seed
RF00215,Tombus virus defective interfering (DI) RNA region 3,Cis-reg;,28,72,1945,69.5,79,Rfam seed
RF00216,c-myc internal ribosome entry site (IRES),Cis-reg; IRES;,23,310,6952,302.3,98,Rfam seed
RF00217,Small nucleolar RNA SNORD20,Gene; snRNA; snoRNA; CD-box;,13,84,1035,79.6,88,Rfam seed
RF00218,Small nucleolar RNA SNORD46,Gene; snRNA; snoRNA; CD-box;,5,105,511,102.2,91,Rfam seed
RF00220,Human rhinovirus internal cis-acting regulatory element (CRE),Cis-reg;,12,86,1032,86.0,81,Rfam seed
RF00221,Small nucleolar RNA SNORD43,Gene; snRNA; snoRNA; CD-box;,4,64,251,62.8,85,Rfam seed
RF00222,Bag-1 internal ribosome entry site (IRES),Cis-reg; IRES;,15,389,5525,368.3,79,Rfam seed
RF00223,bip internal ribosome entry site (IRES),Cis-reg; IRES;,9,277,2270,252.2,81,Rfam seed
RF00224,FGF-2 internal ribosome entry site (IRES),Cis-reg; IRES;,6,507,2959,493.2,89,Rfam seed
RF00225,Tobamovirus internal ribosome entry site (IRES),Cis-reg; IRES;,7,154,1060,151.4,87,Rfam seed
RF00226,n-myc internal ribosome entry site (IRES),Cis-reg; IRES;,6,329,1942,323.7,72,Rfam seed
RF00227,FIE3 (ftz instability element 3') element,Cis-reg;,5,92,335,67.0,65,Rfam seed
RF00228,Hepatitis A virus internal ribosome entry site (IRES),Cis-reg; IRES;,23,578,13142,571.4,96,Rfam seed
RF00229,Picornavirus internal ribosome entry site (IRES),Cis-reg; IRES;,92,260,23159,251.7,83,Rfam seed
RF00230,T-box leader,Cis-reg; leader;,48,556,11136,232.0,47,Rfam seed
RF00231,Small Cajal body specific RNA 13,Gene; snRNA; snoRNA; scaRNA;,24,299,6574,273.9,79,Rfam seed
RF00232,Spi-1 (PU.1) 5' UTR regulatory element,Cis-reg;,5,170,823,164.6,91,Rfam seed
RF00233,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,Cis-reg;,28,92,2314,82.6,68,Rfam seed
RF00234,glmS glucosamine-6-phosphate activated ribozyme,Cis-reg; riboswitch;,18,236,3275,181.9,57,Rfam seed
RF00235,Plasmid RNAIII,Gene;,7,131,908,129.7,94,Rfam seed
RF00236,ctRNA,Gene; antisense;,15,88,1166,77.7,73,Rfam seed
RF00237,mir-9/mir-79 microRNA precursor family,Gene; miRNA;,43,67,2629,61.1,78,Rfam seed
RF00238,ctRNA,Gene; antisense;,48,95,4078,85.0,72,Rfam seed
RF00239,mir-124 microRNA precursor family,Gene; miRNA;,56,92,4505,80.4,73,Rfam seed
RF00240,RNA-OUT,Gene; antisense;,16,77,1123,70.2,87,Rfam seed
RF00241,mir-8/mir-141/mir-200 microRNA precursor family,Gene; miRNA;,164,87,11108,67.7,67,Rfam seed
RF00242,ctRNA,Gene; antisense;,16,115,1539,96.2,79,Rfam seed
RF00243,traJ 5' UTR,Cis-reg;,6,111,652,108.7,86,Rfam seed
RF00244,mir-26 microRNA precursor family,Gene; miRNA;,82,84,6061,73.9,73,Rfam seed
RF00245,mir-19 microRNA precursor family,Gene; miRNA;,46,84,3523,76.6,82,Rfam seed
RF00246,mir-135 microRNA precursor family,Gene; miRNA;,32,92,2896,90.5,72,Rfam seed
RF00247,mir-160 microRNA precursor family,Gene; miRNA;,7,137,664,94.9,66,Rfam seed
RF00248,mir-148/mir-152 microRNA precursor family,Gene; miRNA;,70,89,4930,70.4,79,Rfam seed
RF00249,mir-46/mir-47/mir-281 microRNA precursor family,Gene; miRNA;,57,98,4799,84.2,67,Rfam seed
RF00250,Trans-activation response element (TAR),Gene; miRNA;,45,61,2728,60.6,85,Rfam seed
RF00251,mir-219 microRNA precursor family,Gene; miRNA;,13,76,931,71.6,82,Rfam seed
RF00252,Alfalfa mosaic virus coat protein binding (CPB) RNA,Cis-reg;,18,190,3278,182.1,89,Rfam seed
RF00253,mir-101 microRNA precursor family,Gene; miRNA;,59,75,4231,71.7,85,Rfam seed
RF00254,mir-16 microRNA precursor family,Gene; miRNA;,12,82,964,80.3,73,Rfam seed
RF00255,mir-218 microRNA precursor family,Gene; miRNA;,74,89,5801,78.4,78,Rfam seed
RF00256,mir-196 microRNA precursor family,Gene; miRNA;,14,96,1269,90.6,73,Rfam seed
RF00257,mir-194 microRNA precursor family,Gene; miRNA;,29,95,2465,85.0,69,Rfam seed
RF00258,mir-130 microRNA precursor family,Gene; miRNA;,9,84,747,83.0,87,Rfam seed
RF00259,Interferon gamma 5' UTR regulatory element,Cis-reg;,5,169,842,168.4,90,Rfam seed
RF00260,Hepatitis C virus (HCV) cis-acting replication element (CRE),Cis-reg;,52,51,2652,51.0,87,Rfam seed
RF00261,L-myc internal ribosome entry site (IRES),Cis-reg; IRES;,11,237,2431,221.0,88,Rfam seed
RF00262,sar RNA,Gene; antisense;,4,68,272,68.0,82,Rfam seed
RF00263,Small nucleolar RNA SNORA68,Gene; snRNA; snoRNA; HACA-box;,26,147,3436,132.2,71,Rfam seed
RF00264,Small nucleolar RNA SNORA64/SNORA10 family,Gene; snRNA; snoRNA; HACA-box;,9,138,1197,133.0,71,Rfam seed
RF00265,Small nucleolar RNA SNORA69,Gene; snRNA; snoRNA; HACA-box;,16,146,2118,132.4,84,Rfam seed
RF00266,Small nucleolar RNA Z17,Gene; snRNA; snoRNA; CD-box;,26,76,1849,71.1,76,Rfam seed
RF00267,Small nucleolar RNA R64/Z200 family,Gene; snRNA; snoRNA; CD-box;,14,106,1330,95.0,69,Rfam seed
RF00268,Small nucleolar RNA snoZ7/snoR77,Gene; snRNA; snoRNA; CD-box;,5,79,381,76.2,91,Rfam seed
RF00270,Small nucleolar RNA SNORD61,Gene; snRNA; snoRNA; CD-box;,36,88,2588,71.9,71,Rfam seed
RF00271,Small nucleolar RNA SNORD60,Gene; snRNA; snoRNA; CD-box;,22,103,1823,82.9,79,Rfam seed
RF00272,Small nucleolar RNA SNORA67,Gene; snRNA; snoRNA; HACA-box;,12,153,1697,141.4,80,Rfam seed
RF00273,Small nucleolar RNA SNORD59,Gene; snRNA; snoRNA; CD-box;,24,86,1754,73.1,77,Rfam seed
