idx,name,format,nseq,alen,nres,small,large,avlen,%id
97,8TM_micro,Stockholm,7,336,1820,246,290,260.0,22
98,A-2_8-polyST,Stockholm,22,527,7280,289,381,330.9,15
99,A1_Propeptide,Stockholm,121,28,3286,26,28,27.2,39
100,A2L_zn_ribbon,Stockholm,12,37,390,31,35,32.5,25
101,A2M,Stockholm,60,113,5515,88,101,91.9,29
102,A2M_BRD,Stockholm,527,449,76654,41,248,145.5,18
103,A2M_recep,Stockholm,194,130,18049,86,103,93.0,27
104,AA9,Stockholm,443,596,95525,198,263,215.6,31
105,AAA,Stockholm,207,253,27657,104,175,133.6,30
106,AAA-ATPase_like,Stockholm,46,344,12891,263,306,280.2,37
107,AAA_10,Stockholm,11,482,4066,362,391,369.6,34
108,AAA_11,Stockholm,44,553,11936,218,352,271.3,25
109,AAA_12,Stockholm,98,514,20694,187,305,211.2,31
110,AAA_13,Stockholm,13,1021,9507,699,772,731.3,21
111,AAA_14,Stockholm,178,259,23188,117,157,130.3,25
112,AAA_15,Stockholm,32,666,12396,330,434,387.4,17
113,AAA_16,Stockholm,119,402,20612,129,274,173.2,18
114,AAA_17,Stockholm,264,321,35711,119,149,135.3,24
115,AAA_18,Stockholm,53,233,6966,108,174,131.4,19
116,AAA_19,Stockholm,34,324,5335,129,271,156.9,35
117,AAA_2,Stockholm,138,257,23581,121,200,170.9,35
118,AAA_21,Stockholm,71,480,21006,147,374,295.9,14
119,AAA_22,Stockholm,70,236,9859,122,176,140.8,18
120,AAA_23,Stockholm,182,815,42834,195,301,235.4,13
121,AAA_24,Stockholm,51,309,10501,183,248,205.9,19
122,AAA_25,Stockholm,42,293,7961,161,212,189.5,19
123,AAA_26,Stockholm,35,338,7082,185,229,202.3,23
124,AAA_27,Stockholm,47,239,9736,199,221,207.1,36
125,AAA_28,Stockholm,59,325,9780,154,194,165.8,21
126,AAA_29,Stockholm,44,69,2672,57,64,60.7,41
127,AAA_3,Stockholm,49,138,6458,131,135,131.8,59
128,AAA_30,Stockholm,97,334,19393,182,237,199.9,29
129,AAA_31,Stockholm,36,265,6540,177,206,181.7,42
130,AAA_32,Stockholm,176,142,23350,120,135,132.7,44
131,AAA_33,Stockholm,56,297,8097,129,187,144.6,21
132,AAA_34,Stockholm,62,525,19439,290,377,313.5,45
133,AAA_35,Stockholm,60,404,20038,328,348,334.0,42
134,AAA_5,Stockholm,33,187,4712,128,161,142.8,22
135,AAA_6,Stockholm,80,352,26177,322,331,327.2,49
136,AAA_7,Stockholm,296,199,53586,175,183,181.0,37
137,AAA_8,Stockholm,21,301,5470,250,278,260.5,33
138,AAA_9,Stockholm,379,412,84257,207,246,222.3,37
139,AAA_assoc,Stockholm,135,186,13038,83,113,96.6,26
140,AAA_assoc_2,Stockholm,659,141,53966,73,114,81.9,35
141,AAA_assoc_C,Stockholm,97,125,11448,112,119,118.0,33
142,AAA_lid_1,Stockholm,2,100,200,100,100,100.0,56
143,AAA_lid_10,Stockholm,6,114,607,97,113,101.2,52
144,AAA_lid_11,Stockholm,357,293,50847,131,178,142.4,39
145,AAA_lid_2,Stockholm,179,89,13017,63,81,72.7,27
146,AAA_lid_3,Stockholm,582,128,26614,31,60,45.7,25
147,AAA_lid_4,Stockholm,90,75,6662,74,75,74.0,53
148,AAA_lid_5,Stockholm,30,170,3207,101,150,106.9,32
149,AAA_lid_6,Stockholm,176,104,10914,55,80,62.0,26
150,AAA_lid_7,Stockholm,126,210,13635,93,128,108.2,19
151,AAA_lid_8,Stockholm,28,110,2073,69,86,74.0,29
152,AAA_lid_9,Stockholm,176,173,18443,95,115,104.8,32
153,AAA_PrkA,Stockholm,7,376,2500,347,362,357.1,49
154,AadA_C,Stockholm,2,104,207,103,104,103.5,34
155,AalphaY_MDB,Stockholm,1,145,145,145,145,145.0,100
156,AAL_decarboxy,Stockholm,139,262,30522,213,242,219.6,35
157,AAR2,Stockholm,96,885,36487,332,498,380.1,26
158,AARP2CN,Stockholm,168,155,14236,76,136,84.7,34
159,AAT,Stockholm,16,306,3622,206,269,226.4,20
160,AATase,Stockholm,7,548,3376,436,518,482.3,23
161,AATF-Che1,Stockholm,174,283,23402,118,197,134.5,25
162,AA_kinase,Stockholm,128,459,30815,170,297,240.7,18
163,AA_permease,Stockholm,25,598,11716,439,506,468.6,20
164,AA_permease_2,Stockholm,46,999,20654,412,523,449.0,14
165,AA_permease_C,Stockholm,38,58,1939,46,55,51.0,42
166,AA_permease_N,Stockholm,11,72,758,63,72,68.9,44
167,AA_synth,Stockholm,44,217,7779,173,206,176.8,42
168,Aa_trans,Stockholm,23,557,9531,384,475,414.4,18
169,ABA4-like,Stockholm,82,218,10532,118,152,128.4,30
170,ABATE,Stockholm,214,323,27664,111,178,129.3,20
171,ABA_GPCR,Stockholm,67,333,13133,174,241,196.0,29
172,ABA_WDS,Stockholm,19,78,1470,74,78,77.4,59
173,AbbA_antirepres,Stockholm,5,64,312,61,64,62.4,50
174,ABC-3,Stockholm,14,268,3629,257,268,259.2,29
175,ABC1,Stockholm,29,301,7156,194,261,246.8,28
176,ABC2_membrane,Stockholm,214,297,45557,203,222,212.9,16
177,ABC2_membrane_2,Stockholm,20,539,6240,261,394,312.0,17
178,ABC2_membrane_3,Stockholm,137,1133,51513,315,492,376.0,12
179,ABC2_membrane_4,Stockholm,48,308,8605,171,195,179.3,23
180,ABC2_membrane_5,Stockholm,48,309,9807,191,220,204.3,18
181,ABC2_membrane_6,Stockholm,12,250,2752,224,236,229.3,22
182,ABC2_membrane_7,Stockholm,41,454,16664,380,420,406.4,62
183,ABC_ATPase,Stockholm,30,324,8426,268,299,280.9,47
184,ABC_cobalt,Stockholm,102,158,12530,119,141,122.8,34
185,ABC_export,Stockholm,29,661,15261,511,550,526.2,20
186,ABC_membrane,Stockholm,70,334,19369,266,301,276.7,16
187,ABC_membrane_2,Stockholm,25,321,6855,267,305,274.2,27
188,ABC_membrane_3,Stockholm,4,237,944,235,237,236.0,32
189,ABC_N,Stockholm,30,231,4826,143,198,160.9,29
190,ABC_sub_bind,Stockholm,5,300,1448,273,298,289.6,27
191,ABC_toxin_N,Stockholm,31,162,3893,117,135,125.6,40
192,ABC_tran,Stockholm,55,274,8287,111,231,150.7,26
193,ABC_transp_aux,Stockholm,117,681,32571,252,437,278.4,22
194,ABC_trans_aux,Stockholm,58,203,9257,153,168,159.6,22
195,ABC_trans_CmpB,Stockholm,374,306,58518,135,171,156.5,29
196,ABC_trans_N,Stockholm,363,153,31483,56,121,86.7,23
197,ABC_tran_2,Stockholm,5,568,2718,539,548,543.6,32
198,ABC_tran_CTD,Stockholm,709,101,48368,62,77,68.2,28
199,ABC_tran_Xtn,Stockholm,141,115,11980,78,95,85.0,27
200,Abdominal-A,Stockholm,2,24,48,24,24,24.0,75
201,AbfB,Stockholm,91,164,12493,129,148,137.3,39
202,AbfS_sensor,Stockholm,5,65,325,65,65,65.0,24
203,ABG_transport,Stockholm,9,518,4514,493,515,501.6,42
204,ABHD18,Stockholm,8,541,3219,325,504,402.4,34
205,Abhydrolase_1,Stockholm,48,454,12644,224,396,263.4,13
206,Abhydrolase_10,Stockholm,127,1143,57548,395,624,453.1,28
207,Abhydrolase_11,Stockholm,39,255,7659,190,215,196.4,37
208,Abhydrolase_2,Stockholm,10,243,2169,207,226,216.9,25
209,Abhydrolase_3,Stockholm,93,362,19884,195,259,213.8,29
210,Abhydrolase_4,Stockholm,32,140,3330,99,119,104.1,26
211,Abhydrolase_5,Stockholm,6,173,985,160,167,164.2,42
212,Abhydrolase_6,Stockholm,391,1096,96541,191,388,246.9,11
213,Abhydrolase_7,Stockholm,8,394,3082,379,390,385.2,57
214,Abhydrolase_8,Stockholm,5,197,896,171,190,179.2,33
215,Abhydrolase_9,Stockholm,65,338,18826,283,303,289.6,45
216,Abhydrolase_9_N,Stockholm,81,248,16944,189,236,209.2,30
217,Abhydro_lipase,Stockholm,55,105,3569,57,102,64.9,35
218,AbiEii,Stockholm,168,419,40899,185,308,243.4,16
219,AbiEi_1,Stockholm,7,172,994,128,154,142.0,29
220,AbiEi_2,Stockholm,8,188,1162,131,161,145.2,27
221,AbiEi_3,Stockholm,17,170,2580,147,158,151.8,31
222,AbiEi_3_N,Stockholm,17,98,1589,91,97,93.5,35
223,AbiEi_4,Stockholm,75,70,3768,43,65,50.2,22
224,AbiGi,Stockholm,4,241,728,160,198,182.0,21
225,AbiGii_2,Stockholm,4,416,1570,387,398,392.5,23
226,aBig_2,Stockholm,204,130,17877,75,95,87.6,42
227,AbiH,Stockholm,28,606,8058,260,347,287.8,22
228,AbiJ_NTD3,Stockholm,63,227,10525,88,184,167.1,27
229,AbiJ_NTD4,Stockholm,58,289,9579,102,225,165.2,17
230,AbiJ_NTD5,Stockholm,15,95,1392,90,94,92.8,29
231,AbiTii,Stockholm,56,290,10547,156,208,188.3,20
232,Abi_2,Stockholm,136,439,26278,177,246,193.2,25
233,Abi_alpha,Stockholm,25,307,4852,179,225,194.1,23
234,Abi_C,Stockholm,52,92,4091,71,84,78.7,25
235,Abi_HHR,Stockholm,21,85,1597,68,80,76.0,50
236,AbLIM_anchor,Stockholm,26,561,9105,270,428,350.2,38
237,ABM,Stockholm,86,117,6648,72,87,77.3,18
238,Abp2,Stockholm,31,199,5302,158,189,171.0,57
239,AbrB,Stockholm,120,408,37587,303,344,313.2,25
240,AbrB-like,Stockholm,38,73,2614,65,72,68.8,53
241,AbrB_C,Stockholm,11,37,404,36,37,36.7,38
242,Ac110_PIF,Stockholm,23,43,989,43,43,43.0,37
243,Ac45-VOA1_TM,Stockholm,316,43,12496,28,41,39.5,34
244,Ac76,Stockholm,15,86,1237,79,84,82.5,47
245,Ac81,Stockholm,6,201,1059,168,192,176.5,23
246,AcaB,Stockholm,16,247,3481,210,228,217.6,29
247,ACAS_N,Stockholm,702,136,39687,50,66,56.5,34
248,Acatn,Stockholm,16,614,8671,506,576,541.9,56
249,ACBP,Stockholm,453,193,35632,73,108,78.7,34
250,Acc5b_avian_CoV,Stockholm,1,82,82,82,82,82.0,100
251,ACCA,Stockholm,285,190,40895,132,158,143.5,47
252,ACC_central,Stockholm,108,1128,78834,685,771,729.9,37
253,ACC_epsilon,Stockholm,98,75,5774,53,67,58.9,34
254,ACD,Stockholm,3,386,1158,386,386,386.0,65
255,ACDC,Stockholm,45,193,4860,82,173,108.0,19
256,ACDH_C,Stockholm,98,323,27725,270,294,282.9,37
257,AceK_kinase,Stockholm,52,288,13366,247,271,257.0,52
258,AceK_regulatory,Stockholm,52,351,15783,296,323,303.5,37
259,Acetate_kinase,Stockholm,7,404,2712,378,397,387.4,42
260,AcetDehyd-dimer,Stockholm,90,178,13121,135,160,145.8,55
261,Acetone_carb_G,Stockholm,27,121,3010,105,116,111.5,47
262,AcetylCoA_hydro,Stockholm,5,230,1013,191,219,202.6,24
263,AcetylCoA_hyd_C,Stockholm,160,216,24735,147,168,154.6,41
264,Acetyltransf_1,Stockholm,223,269,26572,103,151,119.2,15
265,Acetyltransf_10,Stockholm,50,160,6440,110,145,128.8,24
266,Acetyltransf_11,Stockholm,465,142,38435,75,92,82.7,32
267,Acetyltransf_13,Stockholm,95,87,6631,65,79,69.8,37
268,Acetyltransf_14,Stockholm,8,202,1400,171,190,175.0,25
269,Acetyltransf_15,Stockholm,10,436,2414,204,309,241.4,23
270,Acetyltransf_16,Stockholm,32,215,5700,169,189,178.1,41
271,Acetyltransf_17,Stockholm,222,213,25349,99,139,114.2,22
272,Acetyltransf_18,Stockholm,22,134,2676,103,128,121.6,26
273,Acetyltransf_19,Stockholm,12,121,1372,113,119,114.3,25
274,Acetyltransf_2,Stockholm,24,282,5910,228,262,246.2,30
275,Acetyltransf_3,Stockholm,170,358,24688,128,211,145.2,20
276,Acetyltransf_4,Stockholm,8,197,1249,142,166,156.1,16
277,Acetyltransf_5,Stockholm,129,148,13423,93,119,104.1,32
278,Acetyltransf_6,Stockholm,123,328,17899,133,156,145.5,18
279,Acetyltransf_7,Stockholm,1800,291,153898,61,101,85.5,18
280,Acetyltransf_8,Stockholm,172,203,25010,136,154,145.4,28
281,Acetyltransf_9,Stockholm,62,181,7983,121,139,128.8,22
282,Acetyltransf_CG,Stockholm,177,130,13915,71,96,78.6,29
283,AChE_tetra,Stockholm,8,37,280,34,37,35.0,58
284,ACI44,Stockholm,3,65,194,64,65,64.7,93
285,Acid_phosphat_B,Stockholm,31,354,7086,206,248,228.6,28
286,Acid_PPase,Stockholm,32,256,5579,158,197,174.3,34
287,AcMNPV_Ac109,Stockholm,2,418,741,351,390,370.5,26
288,AcMNPV_AC11,Stockholm,1,334,334,334,334,334.0,100
289,AcMNPV_Ac75,Stockholm,14,125,1707,120,124,121.9,35
290,AcMNPV_Orf101,Stockholm,2,377,703,351,352,351.5,26
291,AcMNPV_Orf17,Stockholm,20,142,2364,111,131,118.2,35
292,AcMNPV_Orf18,Stockholm,18,439,5845,301,384,324.7,30
293,AcMNPV_P18,Stockholm,2,157,306,153,153,153.0,33
294,AcnX,Stockholm,107,590,42339,368,432,395.7,33
295,AcnX_swivel_put,Stockholm,96,92,7683,73,89,80.0,38
296,Aconitase,Stockholm,579,862,270385,422,532,467.0,36
297,Aconitase_2_N,Stockholm,41,260,8545,202,232,208.4,59
298,Aconitase_B_N,Stockholm,141,200,21739,149,172,154.2,51
299,Aconitase_C,Stockholm,11,138,1422,124,137,129.3,30
300,ACOX,Stockholm,234,276,42386,168,201,181.1,25
301,ACP,Stockholm,121,91,9899,78,85,81.8,35
302,Acp26Ab,Stockholm,2,90,180,90,90,90.0,93
303,ACP53EA,Stockholm,12,93,1084,88,93,90.3,28
304,ACPS,Stockholm,149,231,15964,79,154,107.1,17
305,ACP_PD,Stockholm,114,135,12004,100,115,105.3,28
306,ACP_syn_III,Stockholm,129,113,10238,72,87,79.4,38
307,ACP_syn_III_C,Stockholm,145,102,13029,84,93,89.9,33
308,AcrZ,Stockholm,7,48,330,45,48,47.1,63
309,ACR_tran,Stockholm,15,1088,15364,1007,1038,1024.3,31
310,ACS_CODH_B_C,Stockholm,66,249,16146,244,247,244.6,57
311,ACT,Stockholm,128,81,8446,60,75,66.0,16
312,Act-Frag_cataly,Stockholm,7,404,2054,273,321,293.4,25
313,ActA,Stockholm,1,633,633,633,633,633.0,100
314,ActD,Stockholm,91,203,15184,157,181,166.9,31
315,ACTH_assoc,Stockholm,25,29,690,24,29,27.6,30
316,ACTH_domain,Stockholm,19,20,363,18,20,19.1,55
317,Actin,Stockholm,24,708,10210,368,472,425.4,29
318,Actino_peptide,Stockholm,14,68,813,51,63,58.1,32
319,Actin_micro,Stockholm,7,574,2707,331,461,386.7,28
320,Activator-TraM,Stockholm,4,143,569,142,143,142.2,62
321,Activator_LAG-3,Stockholm,2,476,876,408,468,438.0,59
322,Activin_recp,Stockholm,15,144,1280,71,112,85.3,23
323,ACTL7A_N,Stockholm,14,70,911,63,69,65.1,64
324,ACT_3,Stockholm,56,82,3916,66,76,69.9,35
325,ACT_4,Stockholm,95,90,7473,73,84,78.7,21
326,ACT_5,Stockholm,32,68,1973,59,66,61.7,29
327,ACT_6,Stockholm,38,91,2902,71,85,76.4,27
328,ACT_7,Stockholm,128,81,8249,61,72,64.4,27
329,ACT_8,Stockholm,5,142,706,140,142,141.2,69
330,acVLRF1,Stockholm,102,205,13429,119,172,131.7,38
331,Acyl-ACP_TE,Stockholm,9,293,2260,240,284,251.1,25
332,Acyl-CoA_dh_1,Stockholm,49,184,7395,139,159,150.9,22
333,Acyl-CoA_dh_2,Stockholm,18,148,2364,121,142,131.3,24
334,Acyl-CoA_dh_C,Stockholm,411,211,52212,114,146,127.0,24
335,Acyl-CoA_dh_M,Stockholm,37,147,3612,90,110,97.6,22
336,Acyl-CoA_dh_N,Stockholm,666,210,75326,106,129,113.1,28
337,Acyl-CoA_ox_N,Stockholm,120,168,14493,113,148,120.8,24
338,Acyl-thio_N,Stockholm,16,154,2020,123,130,126.2,55
339,AcylCoA_dehyd_C,Stockholm,44,117,4902,104,113,111.4,41
340,AcylCoA_DH_N,Stockholm,215,35,6848,30,34,31.9,33
341,Acylphosphatase,Stockholm,43,108,3687,81,93,85.7,29
342,Acyltransferase,Stockholm,46,252,6341,121,209,137.8,22
343,Acyltransf_2,Stockholm,2,266,528,262,266,264.0,76
344,Acyltransf_C,Stockholm,65,101,4965,69,87,76.4,28
345,Acyl_CoA_thio,Stockholm,9,150,1071,99,137,119.0,23
346,Acyl_transf_1,Stockholm,8,400,2642,317,375,330.2,24
347,Acyl_transf_2,Stockholm,4,295,1177,294,295,294.2,67
348,Acyl_transf_3,Stockholm,99,706,33486,283,475,338.2,13
349,AC_1,Stockholm,29,165,3405,109,136,117.4,41
350,AC_N,Stockholm,3,464,1265,392,458,421.7,69
351,AD,Stockholm,91,134,8043,82,103,88.4,29
352,Ada3,Stockholm,81,247,11401,110,223,140.8,37
353,ADAM17_MPD,Stockholm,24,75,1462,57,69,60.9,48
354,ADAMTS_CR_2,Stockholm,76,129,5271,64,90,69.4,33
355,ADAMTS_CR_3,Stockholm,1,115,115,115,115,115.0,100
356,ADAMTS_spacer1,Stockholm,46,142,5493,110,125,119.4,32
357,ADAM_CR,Stockholm,324,214,37919,85,137,117.0,32
358,Adaptin_binding,Stockholm,27,286,3130,47,276,115.9,21
359,Adaptin_N,Stockholm,30,895,16480,516,612,549.3,20
360,Adap_comp_sub,Stockholm,46,606,12649,212,393,275.0,22
361,Ada_Zn_binding,Stockholm,266,75,17157,61,69,64.5,48
362,ADC,Stockholm,71,355,16931,205,259,238.5,25
363,Adcy_cons_dom,Stockholm,6,114,600,93,108,100.0,25
364,ADD_ATRX,Stockholm,8,56,444,54,56,55.5,59
365,ADD_DNMT3,Stockholm,19,56,1064,56,56,56.0,49
366,Adenine_deam_C,Stockholm,255,226,42640,154,180,167.2,36
367,Adenine_glyco,Stockholm,449,253,78759,164,202,175.4,45
368,Adenosine_kin,Stockholm,92,160,14171,150,156,154.0,55
369,Adeno_100,Stockholm,3,600,1734,563,587,578.0,36
370,Adeno_52K,Stockholm,17,230,3256,129,216,191.5,29
371,Adeno_E1A,Stockholm,1,289,289,289,289,289.0,100
372,Adeno_E1B_19K,Stockholm,16,145,2157,128,137,134.8,32
373,Adeno_E1B_55K,Stockholm,15,414,5769,375,398,384.6,34
374,Adeno_E1B_55K_N,Stockholm,5,73,326,58,70,65.2,35
375,Adeno_E3,Stockholm,4,145,520,119,134,130.0,53
376,Adeno_E3A,Stockholm,1,104,104,104,104,104.0,100
377,Adeno_E3B,Stockholm,1,67,67,67,67,67.0,100
378,Adeno_E3_14_5,Stockholm,1,100,100,100,100,100.0,100
379,Adeno_E3_15_3,Stockholm,1,117,117,117,117,117.0,100
380,Adeno_E3_CR1,Stockholm,20,102,1824,84,99,91.2,34
381,Adeno_E3_CR2,Stockholm,9,39,343,37,39,38.1,41
382,Adeno_E4,Stockholm,1,108,108,108,108,108.0,100
383,Adeno_E4_34,Stockholm,1,145,145,145,145,145.0,100
384,Adeno_E4_ORF3,Stockholm,1,113,113,113,113,113.0,100
385,Adeno_GP19K,Stockholm,1,132,132,132,132,132.0,100
386,Adeno_hexon,Stockholm,3,612,1763,583,594,587.7,51
387,Adeno_hexon_C,Stockholm,3,241,707,232,241,235.7,55
388,Adeno_IVa2,Stockholm,3,386,1101,364,372,367.0,34
389,Adeno_knob,Stockholm,1,193,193,193,193,193.0,100
390,Adeno_L433K_22K,Stockholm,3,236,489,86,225,163.0,40
391,Adeno_Penton_B,Stockholm,4,548,1897,442,534,474.2,51
392,Adeno_PIX,Stockholm,1,110,110,110,110,110.0,100
393,Adeno_PV,Stockholm,1,355,355,355,355,355.0,100
394,Adeno_PVIII,Stockholm,3,265,667,208,238,222.3,29
395,Adeno_PX,Stockholm,3,43,124,40,42,41.3,60
396,Adeno_shaft,Stockholm,8,45,351,43,45,43.9,22
397,Adeno_terminal,Stockholm,4,639,2227,532,575,556.8,34
398,Adeno_VII,Stockholm,2,142,231,109,122,115.5,36
399,AdenylateSensor,Stockholm,13,157,1585,117,129,121.9,58
400,Adenylate_cycl,Stockholm,22,660,13100,571,613,595.5,37
401,Adenylsucc_synt,Stockholm,623,821,260428,390,534,418.0,44
402,Adenyl_cycl_N,Stockholm,44,236,8686,190,226,197.4,38
403,Adenyl_transf,Stockholm,50,318,13895,257,285,277.9,37
404,AdeT1_2,Stockholm,4,422,1560,337,420,390.0,57
405,AdHead_fibreRBD,Stockholm,2,207,391,190,201,195.5,18
406,Adhes-Ig_like,Stockholm,10,114,1104,109,112,110.4,61
407,Adhesin_Dr,Stockholm,6,146,839,139,143,139.8,38
408,Adhesin_E,Stockholm,5,127,617,115,126,123.4,33
409,Adhesin_P1_C,Stockholm,8,129,918,107,118,114.8,51
410,Adhesin_P1_N,Stockholm,31,139,3288,93,116,106.1,27
411,ADH_N,Stockholm,66,208,7491,100,135,113.5,29
412,ADH_N_2,Stockholm,52,130,5546,100,114,106.7,36
413,ADH_N_assoc,Stockholm,78,23,1793,22,23,23.0,49
414,adh_short,Stockholm,44,235,8575,186,201,194.9,26
