AC,ID,DE,TP
RF00105,SNORD115,Small nucleolar RNA SNORD115,Gene; snRNA; snoRNA; CD-box;
RF00106,RNAI,RNAI,Gene; antisense;
RF00107,FinP,FinP,Gene;
RF00108,SNORD116,Small nucleolar RNA SNORD116,Gene; snRNA; snoRNA; CD-box;
RF00109,Vimentin3,Vimentin 3' UTR protein-binding region,Cis-reg;
RF00110,RybB,RybB RNA,Gene; sRNA;
RF00111,SdsR_RyeB,SdsR_RyeB RNA,Gene; sRNA;
RF00112,CyaR_RyeE,CyaR/Rye RNA,Gene; sRNA;
RF00113,SIB_RNA,Short Intergenic Abundant RNA,Gene; antitoxin;
RF00114,S15,Ribosomal S15 leader,Cis-reg; leader;
RF00115,McaS,McaS/IsrA RNA,Gene; sRNA;
RF00116,C0465,C0465 RNA,Gene; sRNA;
RF00117,C0719,C0719 RNA,Gene; sRNA;
RF00118,rydB,rydB RNA,Gene; sRNA;
RF00119,C0299,C0299 RNA,Gene; sRNA;
RF00121,MicC,MicC RNA,Gene; sRNA;
RF00122,GadY,GadY,Gene; sRNA;
RF00124,IS102,IS102 RNA,Gene; sRNA;
RF00125,IS128,IS128 RNA,Gene; sRNA;
RF00126,ryfA,ryfA RNA,Gene; sRNA;
RF00127,t44,t44 RNA,Gene; sRNA;
RF00128,GlmY_tke1,Glm Y RNA activator of glmS mRNA,Gene; sRNA;
RF00129,mir-103,mir-103/107 microRNA precursor,Gene; miRNA;
RF00130,mir-192,mir-192/215 microRNA precursor,Gene; miRNA;
RF00131,mir-30,mir-30 microRNA precursor,Gene; miRNA;
RF00132,snoR24,Small nucleolar RNA R24,Gene; snRNA; snoRNA; CD-box;
RF00133,SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,Gene; snRNA; snoRNA; CD-box;
RF00134,snoZ196,Small nucleolar RNA Z196/R39/R59 family,Gene; snRNA; snoRNA; CD-box;
RF00135,snoZ223,Small nucleolar RNA Z223,Gene; snRNA; snoRNA; CD-box;
RF00136,SNORD81,Small nucleolar RNA SNORD81,Gene; snRNA; snoRNA; CD-box;
RF00137,SNORD83,Small nucleolar RNA SNORD83,Gene; snRNA; snoRNA; CD-box;
RF00138,SNORD16,Small nucleolar RNA SNORD16,Gene; snRNA; snoRNA; CD-box;
RF00139,SNORA72,Small nucleolar RNA SNORA72,Gene; snRNA; snoRNA; HACA-box;
RF00140,Alpha_RBS,Alpha operon ribosome binding site,Cis-reg;
RF00142,snoZ118,Small nucleolar RNA Z118/Z121/Z120,Gene; snRNA; snoRNA; CD-box;
RF00143,mir-6,mir-6 microRNA precursor,Gene; miRNA;
RF00144,mir-199,mir-199 microRNA precursor,Gene; miRNA;
RF00145,snoZ105,Small nucleolar RNA Z105,Gene; snRNA; snoRNA; CD-box;
RF00147,SNORD34,Small nucleolar RNA SNORD34,Gene; snRNA; snoRNA; CD-box;
RF00149,snoZ103,Small nucleolar RNA Z103,Gene; snRNA; snoRNA; CD-box;
RF00150,SNORD42,Small nucleolar RNA SNORD42,Gene; snRNA; snoRNA; CD-box;
RF00151,SNORD58,Small nucleolar RNA SNORD58,Gene; snRNA; snoRNA; CD-box;
RF00152,SNORD79,Small nucleolar RNA SNORD79,Gene; snRNA; snoRNA; CD-box;
RF00153,SNORD62,Small nucleolar RNA SNORD62,Gene; snRNA; snoRNA; CD-box;
RF00154,SNORD63,Small nucleolar RNA SNORD63,Gene; snRNA; snoRNA; CD-box;
RF00155,SNORA66,Small nucleolar RNA SNORA66,Gene; snRNA; snoRNA; HACA-box;
RF00156,SNORA70,Small nucleolar RNA SNORA70,Gene; snRNA; snoRNA; HACA-box;
RF00157,SNORD39,Small nucleolar RNA SNORD55/SNORD39,Gene; snRNA; snoRNA; CD-box;
RF00158,SNORD82,Small nucleolar RNA SNORD82,Gene; snRNA; snoRNA; CD-box;
RF00159,snoZ168,Small nucleolar RNA Z168/Z174,Gene; snRNA; snoRNA; CD-box;
RF00160,snoZ159,Small nucleolar RNA Z159/U59,Gene; snRNA; snoRNA; CD-box;
RF00161,nos_TCE,Nanos 3' UTR translation control element,Cis-reg;
RF00162,SAM,SAM riboswitch (S box leader),Cis-reg; riboswitch;
RF00163,Hammerhead_1,Hammerhead ribozyme (type I),Gene; ribozyme;
RF00164,s2m,Coronavirus 3' stem-loop II-like motif (s2m),Cis-reg;
RF00165,Corona_pk3,Coronavirus 3' UTR pseudoknot,Cis-reg;
RF00166,PrrB_RsmZ,PrrB/RsmZ RNA family,Gene; sRNA;
RF00167,Purine,Purine riboswitch,Cis-reg; riboswitch;
RF00168,Lysine,Lysine riboswitch,Cis-reg; riboswitch;
RF00169,Bacteria_small_SRP,Bacterial small signal recognition particle RNA,Gene;
RF00170,msr,Retron msr RNA,Gene;
RF00171,Tombus_5,Tombusvirus 5' UTR,Cis-reg;
RF00172,CAESAR,ctgf/hcs24 CAESAR,Cis-reg;
RF00173,Hairpin,Hairpin ribozyme,Gene; ribozyme;
RF00174,Cobalamin,Cobalamin riboswitch,Cis-reg; riboswitch;
RF00175,HIV-1_DIS,Human immunodeficiency virus type 1 dimerisation initiation site,Cis-reg;
RF00176,Tombus_3_IV,Tombusvirus 3' UTR region IV,Cis-reg;
RF00177,SSU_rRNA_bacteria,Bacterial small subunit ribosomal RNA,Gene; rRNA;
RF00178,mir-24,mir-24 microRNA precursor family,Gene; miRNA;
RF00179,GAIT,GAIT element,Cis-reg;
RF00180,REN-SRE,Renin stability regulatory element (REN-SRE),Cis-reg;
RF00181,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,Gene; snRNA; snoRNA; CD-box;
RF00182,Corona_package,Coronavirus packaging signal,Cis-reg;
RF00183,G-CSF_SLDE,G-CSF factor stem-loop destabilising element (SLDE),Cis-reg;
RF00184,PVX_3,Potato virus X cis-acting regulatory element,Cis-reg;
RF00185,Flavi_CRE,Flavivirus 3' UTR cis-acting replication element (CRE),Cis-reg;
RF00186,SNORD101,Small nucleolar RNA SNORD101,Gene; snRNA; snoRNA; CD-box;
RF00187,SNORD102,Small nucleolar RNA SNORD102,Gene; snRNA; snoRNA; CD-box;
RF00188,SNORD103,Small nucleolar RNA SNORD103/SNORD85,Gene; snRNA; snoRNA; CD-box;
RF00189,SNORD95,Small nucleolar RNA SNORD95,Gene; snRNA; snoRNA; CD-box;
RF00190,SNORA16,Small nucleolar RNA SNORA16B/SNORA16A family,Gene; snRNA; snoRNA; HACA-box;
RF00191,SNORA57,Small nucleolar RNA SNORA57,Gene; snRNA; snoRNA; HACA-box;
RF00192,BLV_package,Bovine leukaemia virus RNA packaging signal,Cis-reg;
RF00193,CTV_rep_sig,Citrus tristeza virus replication signal,Cis-reg;
RF00194,Rubella_3,Rubella virus 3' cis-acting element,Cis-reg;
RF00195,RsmY,RsmY RNA family,Gene; sRNA;
RF00196,AMV_RNA1_SL,Alfalfa mosaic virus RNA 1 5' UTR stem-loop,Cis-reg;
RF00198,SL1,SL1 RNA,Gene;
RF00199,SL2,SL2 RNA,Gene;
RF00200,snoZ199,Small nucleolar RNA Z199,Gene; snRNA; snoRNA; CD-box;
RF00201,snoZ278,Small nucleolar RNA Z278,Gene; snRNA; snoRNA; CD-box;
RF00202,snoR66,Small nucleolar RNA R66,Gene; snRNA; snoRNA; CD-box;
RF00203,snoR160,Small nucleolar RNA R160,Gene; snRNA; snoRNA; CD-box;
RF00204,snoR12,Small nucleolar RNA R12,Gene; snRNA; snoRNA; CD-box;
RF00205,snoR41,Small nucleolar RNA R41,Gene; snRNA; snoRNA; CD-box;
RF00206,U54,Small nucleolar RNA U54,Gene; snRNA; snoRNA; CD-box;
RF00207,K10_TLS,K10 transport/localisation element (TLS),Cis-reg;
RF00208,snoR72,Small nucleolar RNA R72,Gene; snRNA; snoRNA; CD-box;
RF00209,IRES_Pesti,Pestivirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00210,IRES_Picorna_2,Aphthovirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00211,SNORD35,Small nucleolar RNA SNORD35,Gene; snRNA; snoRNA; CD-box;
RF00212,SNORD38,Small nucleolar RNA SNORD38,Gene; snRNA; snoRNA; CD-box;
RF00213,snoR38,Small nucleolar RNA R38,Gene; snRNA; snoRNA; CD-box;
RF00214,Retro_dr1,Retrovirus direct repeat 1 (dr1),Cis-reg;
RF00215,Tombus_3_III,Tombus virus defective interfering (DI) RNA region 3,Cis-reg;
RF00216,IRES_c-myc,c-myc internal ribosome entry site (IRES),Cis-reg; IRES;
RF00217,SNORD20,Small nucleolar RNA SNORD20,Gene; snRNA; snoRNA; CD-box;
RF00218,SNORD46,Small nucleolar RNA SNORD46,Gene; snRNA; snoRNA; CD-box;
RF00220,Rhino_CRE,Human rhinovirus internal cis-acting regulatory element (CRE),Cis-reg;
RF00221,SNORD43,Small nucleolar RNA SNORD43,Gene; snRNA; snoRNA; CD-box;
RF00222,IRES_Bag1,Bag-1 internal ribosome entry site (IRES),Cis-reg; IRES;
RF00223,IRES_Bip,bip internal ribosome entry site (IRES),Cis-reg; IRES;
RF00224,IRES_FGF2,FGF-2 internal ribosome entry site (IRES),Cis-reg; IRES;
RF00225,IRES_Tobamo,Tobamovirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00226,IRES_n-myc,n-myc internal ribosome entry site (IRES),Cis-reg; IRES;
RF00227,FIE3,FIE3 (ftz instability element 3') element,Cis-reg;
RF00228,IRES_HepA,Hepatitis A virus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00229,IRES_Picorna,Picornavirus internal ribosome entry site (IRES),Cis-reg; IRES;
RF00230,T-box,T-box leader,Cis-reg; leader;
RF00231,SCARNA13,Small Cajal body specific RNA 13,Gene; snRNA; snoRNA; scaRNA;
RF00232,Spi-1,Spi-1 (PU.1) 5' UTR regulatory element,Cis-reg;
RF00233,Tymo_tRNA-like,Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element,Cis-reg;
RF00234,glmS,glmS glucosamine-6-phosphate activated ribozyme,Cis-reg; riboswitch;
RF00235,Plasmid_RNAIII,Plasmid RNAIII,Gene;
RF00236,ctRNA_pGA1,ctRNA,Gene; antisense;
RF00237,mir-9,mir-9/mir-79 microRNA precursor family,Gene; miRNA;
RF00238,ctRNA_pND324,ctRNA,Gene; antisense;
RF00239,mir-124,mir-124 microRNA precursor family,Gene; miRNA;
RF00240,RNA-OUT,RNA-OUT,Gene; antisense;
RF00241,mir-8,mir-8/mir-141/mir-200 microRNA precursor family,Gene; miRNA;
RF00242,ctRNA_pT181,ctRNA,Gene; antisense;
RF00243,traJ_5,traJ 5' UTR,Cis-reg;
RF00244,mir-26,mir-26 microRNA precursor family,Gene; miRNA;
RF00245,mir-19,mir-19 microRNA precursor family,Gene; miRNA;
RF00246,mir-135,mir-135 microRNA precursor family,Gene; miRNA;
RF00247,mir-160,mir-160 microRNA precursor family,Gene; miRNA;
RF00248,mir-148,mir-148/mir-152 microRNA precursor family,Gene; miRNA;
RF00249,mir-46,mir-46/mir-47/mir-281 microRNA precursor family,Gene; miRNA;
RF00250,mir-TAR,Trans-activation response element (TAR),Gene; miRNA;
RF00251,mir-219,mir-219 microRNA precursor family,Gene; miRNA;
RF00252,Alfamo_CPB,Alfalfa mosaic virus coat protein binding (CPB) RNA,Cis-reg;
RF00253,mir-101,mir-101 microRNA precursor family,Gene; miRNA;
RF00254,mir-16,mir-16 microRNA precursor family,Gene; miRNA;
RF00255,mir-218,mir-218 microRNA precursor family,Gene; miRNA;
RF00256,mir-196,mir-196 microRNA precursor family,Gene; miRNA;
RF00257,mir-194,mir-194 microRNA precursor family,Gene; miRNA;
RF00258,mir-130,mir-130 microRNA precursor family,Gene; miRNA;
RF00259,IFN_gamma,Interferon gamma 5' UTR regulatory element,Cis-reg;
RF00260,HepC_CRE,Hepatitis C virus (HCV) cis-acting replication element (CRE),Cis-reg;
RF00261,IRES_L-myc,L-myc internal ribosome entry site (IRES),Cis-reg; IRES;
RF00262,sar,sar RNA,Gene; antisense;
RF00263,SNORA68,Small nucleolar RNA SNORA68,Gene; snRNA; snoRNA; HACA-box;
RF00264,SNORA64,Small nucleolar RNA SNORA64/SNORA10 family,Gene; snRNA; snoRNA; HACA-box;
RF00265,SNORA69,Small nucleolar RNA SNORA69,Gene; snRNA; snoRNA; HACA-box;
RF00266,snoZ17,Small nucleolar RNA Z17,Gene; snRNA; snoRNA; CD-box;
RF00267,snoR64,Small nucleolar RNA R64/Z200 family,Gene; snRNA; snoRNA; CD-box;
RF00268,snoZ7,Small nucleolar RNA snoZ7/snoR77,Gene; snRNA; snoRNA; CD-box;
RF00270,SNORD61,Small nucleolar RNA SNORD61,Gene; snRNA; snoRNA; CD-box;
RF00271,SNORD60,Small nucleolar RNA SNORD60,Gene; snRNA; snoRNA; CD-box;
RF00272,SNORA67,Small nucleolar RNA SNORA67,Gene; snRNA; snoRNA; HACA-box;
RF00273,SNORD59,Small nucleolar RNA SNORD59,Gene; snRNA; snoRNA; CD-box;
RF00274,SNORD57,Small nucleolar RNA SNORD57,Gene; snRNA; snoRNA; CD-box;
RF00275,SNORD56,Small nucleolar RNA SNORD56,Gene; snRNA; snoRNA; CD-box;
RF00276,SNORD52,Small nucleolar RNA SNORD52,Gene; snRNA; snoRNA; CD-box;
RF00277,SNORD49,Small nucleolar RNA SNORD49,Gene; snRNA; snoRNA; CD-box;
RF00278,SNORD50,Small nucleolar RNA SNORD50,Gene; snRNA; snoRNA; CD-box;
RF00279,SNORD45,Small nucleolar RNA SNORD45,Gene; snRNA; snoRNA; CD-box;
RF00280,SNORD51,Small nucleolar RNA SNORD51,Gene; snRNA; snoRNA; CD-box;
RF00281,SNORD47,Small nucleolar RNA SNORD47,Gene; snRNA; snoRNA; CD-box;
RF00282,SNORD48,Small nucleolar RNA SNORD48,Gene; snRNA; snoRNA; CD-box;
RF00283,SCARNA18,small Cajal body-specific RNA 18,Gene; snRNA; snoRNA; scaRNA;
RF00284,SNORD74,Small nucleolar RNA SNORD74,Gene; snRNA; snoRNA; CD-box;
RF00285,snoZ6,Z6 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00286,SCARNA8,Small Cajal body specific RNA 8,Gene; snRNA; snoRNA; scaRNA;
RF00287,SNORD44,Small nucleolar RNA SNORD44,Gene; snRNA; snoRNA; CD-box;
RF00288,snoZ30,Z30 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00289,SNORND104,Small nucleolar RNA SNORD104,Gene; snRNA; snoRNA; CD-box;
RF00290,BaMV_CRE,Bamboo mosaic potexvirus (BaMV) cis-regulatory element,Cis-reg;
RF00291,snoR639,Small nucleolar RNA snoR639/H1,Gene; snRNA; snoRNA; HACA-box;
RF00292,snoTBR5,Small nucleolar RNA TBR5,Gene; snRNA; snoRNA; CD-box;
RF00293,snoM1,Small nucleolar RNA snoM1,Gene; snRNA; snoRNA; HACA-box;
RF00294,snoTBR17,Small nucleolar RNA TBR17,Gene; snRNA; snoRNA; CD-box;
RF00295,snoTBR7,Small nucleolar RNA TBR7,Gene; snRNA; snoRNA; CD-box;
RF00296,snoR16,Small nucleolar RNA R16,Gene; snRNA; snoRNA; CD-box;
RF00300,snoZ221_snoR21b,Small nucleolar RNA Z221/R21b,Gene; snRNA; snoRNA; CD-box;
RF00301,snoZ256,Small nucleolar RNA Z256,Gene; snRNA; snoRNA; CD-box;
RF00302,SNORA65,Small nucleolar RNA SNORA65,Gene; snRNA; snoRNA; HACA-box;
RF00303,snoR86,Small nucleolar RNA snoR86,Gene; snRNA; snoRNA; HACA-box;
RF00304,snoZ279_R105_R108,Small nucleolar RNA Z279/snoR105/snoR108,Gene; snRNA; snoRNA; CD-box;
RF00305,snoZ248,Small nucleolar RNA Z248,Gene; snRNA; snoRNA; CD-box;
RF00306,snoZ178,Small nucleolar RNA Z178,Gene; snRNA; snoRNA; CD-box;
RF00307,snoR98,Small nucleolar RNA snoR98,Gene; snRNA; snoRNA; HACA-box;
RF00309,snosnR60_Z15,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,Gene; snRNA; snoRNA; CD-box;
RF00310,snoZ165,Small nucleolar RNA Z165,Gene; snRNA; snoRNA; CD-box;
RF00311,snoZ188,Small nucleolar RNA Z188,Gene; snRNA; snoRNA; CD-box;
RF00312,snoZ206,Small nucleolar RNA Z206,Gene; snRNA; snoRNA; CD-box;
RF00313,snoZ173,Small nucleolar RNA Z173,Gene; snRNA; snoRNA; CD-box;
RF00314,snoZ182,Small nucleolar RNA Z182,Gene; snRNA; snoRNA; CD-box;
RF00315,snoJ33,Small nucleolar RNA J33,Gene; snRNA; snoRNA; CD-box;
RF00316,snoR43,Small nucleolar RNA R43,Gene; snRNA; snoRNA; CD-box;
RF00317,snoZ163,Small nucleolar RNA Z163/Z177 family,Gene; snRNA; snoRNA; CD-box;
RF00318,snoZ175,Small nucleolar RNA Z175,Gene; snRNA; snoRNA; CD-box;
RF00319,SNORA23,Small nucleolar RNA SNORA23,Gene; snRNA; snoRNA; HACA-box;
RF00320,snoZ185,Small nucleolar RNA Z185,Gene; snRNA; snoRNA; CD-box;
RF00321,snoZ247,Small nucleolar RNA Z247,Gene; snRNA; snoRNA; CD-box;
RF00322,SNORA31,Small nucleolar RNA SNORA31,Gene; snRNA; snoRNA; HACA-box;
RF00323,snoR79,Small nucleolar RNA R79,Gene; snRNA; snoRNA; CD-box;
RF00324,snoMBII-202,Small nucleolar RNA MBII-202,Gene; snRNA; snoRNA; CD-box;
RF00325,SNORD53_SNORD92,Small nucleolar RNA SNORD53/SNORD92,Gene; snRNA; snoRNA; CD-box;
RF00326,snoZ155,Small nucleolar RNA Z155,Gene; snRNA; snoRNA; CD-box;
RF00327,snoZ194,Small nucleolar RNA Z194,Gene; snRNA; snoRNA; CD-box;
RF00328,snoZ161_228,Small nucleolar RNA Z161/Z228,Gene; snRNA; snoRNA; CD-box;
RF00329,snoZ162,Small nucleolar RNA Z162,Gene; snRNA; snoRNA; CD-box;
RF00330,snoZ43,Small nucleolar RNA Z43,Gene; snRNA; snoRNA; CD-box;
RF00331,snoZ169,Small nucleolar RNA Z169,Gene; snRNA; snoRNA; CD-box;
RF00332,snoZ266,Small nucleolar RNA Z266,Gene; snRNA; snoRNA; CD-box;
RF00333,snoZ157,Small nucleolar RNA Z157/R69/R10,Gene; snRNA; snoRNA; CD-box;
RF00334,SNORA3,Small nucleolar RNA SNORA3/SNORA45 family,Gene; snRNA; snoRNA; HACA-box;
RF00335,snoZ13_snr52,Small nucleolar RNA Z13/snr52,Gene; snRNA; snoRNA; CD-box;
RF00336,snoJ26,Small nucleolar RNA J26,Gene; snRNA; snoRNA; CD-box;
RF00337,snoZ112,Small nucleolar RNA Z112,Gene; snRNA; snoRNA; CD-box;
RF00338,snoR53,Small nucleolar RNA snR53,Gene; snRNA; snoRNA; CD-box;
RF00339,snoR60,Small nucleolar RNA snoR60,Gene; snRNA; snoRNA; CD-box;
RF00340,SNORA36,Small nucleolar RNA SNORA36 family,Gene; snRNA; snoRNA; HACA-box;
RF00341,snoZ39,Small nucleolar RNA Z39,Gene; snRNA; snoRNA; CD-box;
RF00342,snoZ40,Small nucleolar RNA Z40,Gene; snRNA; snoRNA; CD-box;
RF00343,snoZ122,Small nucleolar RNA Z122,Gene; snRNA; snoRNA; CD-box;
RF00344,snoZ267,Small nucleolar RNA Z267,Gene; snRNA; snoRNA; CD-box;
RF00345,snoR1,Small nucleolar RNA snoR1,Gene; snRNA; snoRNA; CD-box;
RF00348,snoR9_plant,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;
RF00349,snoR11,Small nucleolar RNA R11/Z151,Gene; snRNA; snoRNA; CD-box;
RF00350,snoZ152,Small nucleolar RNA Z152/R70/R12/,Gene; snRNA; snoRNA; CD-box;
RF00351,snoR20,Small nucleolar RNA R20,Gene; snRNA; snoRNA; CD-box;
RF00352,snoR21,Small nucleolar RNA R21,Gene; snRNA; snoRNA; CD-box;
RF00353,snoR31_Z110_Z27,Small nucleolar RNA snoR31/Z110/Z27,Gene; snRNA; snoRNA; CD-box;
RF00355,snoR28,Small nucleolar RNA snoR28,Gene; snRNA; snoRNA; CD-box;
